date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:23	47857/47857	---MCZ	200	added ('OK')	text/html	etag:W/%225a7055b8-baf1%22	http://themerail.com/html/edulearnhub/home_online_education.html	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/home_online_education.html	(from )
18:15:24	65/65	---M--	200	added ('OK')	text/plain	etag:%22579bedc3-41%22	http://themerail.com/robots.txt		(from )
18:15:25	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-1d970%22	http://themerail.com/html/edulearnhub/assets/css/bootstrap.min.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/bootstrap.min.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:25	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-7918%22	http://themerail.com/html/edulearnhub/assets/css/font-awesome.min.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/font-awesome.min.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:25	16450/16450	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-4042%22	http://themerail.com/html/edulearnhub/assets/css/themify-icons.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/themify-icons.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:25	1483/1483	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-5cb%22	http://themerail.com/html/edulearnhub/assets/css/owl.carousel.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/owl.carousel.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:26	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-6f0%22	http://themerail.com/html/edulearnhub/assets/css/slick.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/slick.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:26	16745/16745	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-4169%22	http://themerail.com/html/edulearnhub/assets/css/plyr.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/plyr.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:26	6951/6951	---MCZ	200	added ('OK')	text/css	etag:W/%225a14680e-1b27%22	http://themerail.com/html/edulearnhub/assets/css/magnific-popup.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/assets/css/magnific-popup.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
18:15:27	113267/113267	---MCZ	200	added ('OK')	text/css	etag:W/%225a6fab4e-1ba73%22	http://themerail.com/html/edulearnhub/css/style.css	F:/website%20copy/online%20elearning/new/themerail.com/html/edulearnhub/css/style.css	(from http://themerail.com/html/edulearnhub/home_online_education.html)
